subject,sex,age,before,after
1,F,old,9.5,7.1
2,M,old,10.3,11
3,M,old,7.5,5.8
4,F,old,12.4,8.8
5,M,old,10.2,8.6
6,M,old,11,8
7,M,young,9.1,3
8,F,young,7.9,5.2
9,F,old,6.6,3.4
10,M,young,7.7,4
11,M,young,9.4,5.3
12,M,old,11.6,11.3
13,M,young,9.9,4.6
14,F,young,8.6,6.4
15,F,young,14.3,13.5
16,F,old,9.2,4.7
17,M,young,9.8,5.1
18,F,old,9.9,7.3
19,F,young,13,9.5
20,M,young,10.2,5.4
21,M,young,9,3.7
22,F,young,7.9,6.2
23,M,old,10.1,10
24,M,young,9,1.7
25,M,young,8.6,2.9
26,M,young,9.4,3.2
27,M,young,9.7,4.7
28,M,young,9.3,4.9
29,F,young,10.7,9.8
30,M,old,9.3,9.4
